date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,match_id,gele_le
2026-08-04T15:40,2026-08-04_adam_walton_jenson_brooksby,Adam Walton,betsson,1.95,2.0,8.4,-2.5,hist,,adam-walton_vs_brooksby-jenson@2026-08-04,2026-08-19
2026-08-04T22:00,2026-08-05_luciano_darderi_gabriel_diallo,Gabriel Diallo,bet365,1.8,1.667,8.8,8.0,hist,,darderi-luciano_vs_diallo-gabriel@2026-08-05,2026-08-16
2026-08-04T22:00,2026-08-04_frances_tiafoe_marin_cilic,Frances Tiafoe,leovegas,1.54,1.43,3.8,7.7,hist,,cilic-marin_vs_frances-tiafoe@2026-08-04,2026-08-18
2026-08-04T22:00,2026-08-04_frances_tiafoe_marin_cilic,Frances Tiafoe,bet365,1.533,1.444,3.3,6.2,hist,,id1200828573252812,2026-08-16
2026-08-04T22:00,2026-08-05_luciano_darderi_gabriel_diallo,Gabriel Diallo,bet365.fr,1.74,1.667,5.1,4.4,hist,,darderi-luciano_vs_diallo-gabriel@2026-08-05,2026-08-16
2026-08-05T12:00,2026-08-05_raphael_collignon_alexei_popyrin,Alexei Popyrin,bet365,2.625,2.375,5.4,10.5,hist,,id1200828573252832,2026-08-16
2026-08-05T12:00,2026-08-05_raphael_collignon_alexei_popyrin,Alexei Popyrin,unibet,2.55,2.4,2.4,6.2,hist,,id1200828573252832,2026-08-16
2026-08-05T13:40,2026-08-05_nuno_borges_tomas_martin_etcheverry,Tomas Martin Etcheverry,bet365,2.625,2.5,5.9,5.0,hist,,id1200828573252822,2026-08-16
2026-08-05T13:40,2026-08-05_nuno_borges_tomas_martin_etcheverry,Tomas Martin Etcheverry,bet365.fr,2.54,2.5,2.5,1.6,hist,,id1200828573252822,2026-08-16
2026-08-05T13:40,2026-08-05_nuno_borges_tomas_martin_etcheverry,Tomas Martin Etcheverry,unibet,2.55,2.55,2.9,0.0,hist,,id1200828573252822,2026-08-16
2026-08-05T14:20,2026-08-06_alycia_parks_alexandra_eala,Alycia Parks,bet365,5.5,5.0,2.2,10.0,hist,,id1200827973255904,2026-08-16
2026-08-05T15:00,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,1xbet,7.8,5.71,8.5,36.6,hist,,id1200828573252834,2026-08-16
2026-08-05T15:00,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,bet365,8.0,6.0,11.3,33.3,hist,,id1200828573252834,2026-08-16
2026-08-05T15:00,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,unibet,7.5,6.4,4.3,17.2,hist,,id1200828573252834,2026-08-16
2026-08-05T15:20,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,bet365,8.0,6.0,21.8,33.3,hist,,id1200828573252834,2026-08-16
2026-08-05T15:20,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,bet365.fr,7.2,5.6,9.6,28.6,hist,,id1200828573252834,2026-08-16
2026-08-06T06:40,2026-07-31_rafael_jodar_lorenzo_musetti,Lorenzo Musetti,unibet,2.07,2.23,4.0,-7.2,hist,,jodar-rafael_vs_lorenzo-musetti@2026-07-31,2026-08-22
2026-08-06T08:25,2026-08-06_talia_gibson_ekaterina_alexandrova,Talia Gibson,1xbet,2.6,2.016,21.8,29.0,hist,,id1200827973255998,2026-08-16
2026-08-06T08:25,2026-08-06_talia_gibson_ekaterina_alexandrova,Talia Gibson,bet365,2.3,2.0,7.8,15.0,hist,,id1200827973255998,2026-08-16
2026-08-06T08:45,2026-08-06_talia_gibson_ekaterina_alexandrova,Talia Gibson,1xbet,2.6,2.016,23.9,29.0,hist,,id1200827973255998,2026-08-16
2026-08-06T08:45,2026-08-06_talia_gibson_ekaterina_alexandrova,Talia Gibson,bet365,2.3,2.0,9.6,15.0,hist,,id1200827973255998,2026-08-16
