date,tour,steame,opp,mag_cote_pct,mag_cote_pct_POSTHOC,mag_proba_pts,mag_proba_pts_POSTHOC,pin_open,pin_close,lead_min,entry_book,entry,soft_close,clv_book_pct,clv_vs_pin_pct,steame_gagne,pnl,uid
2026-09-13,ATP Challenger Rennes,Alex Kobelt,Matisse Bobichon,27.4,27.0,4.4,4.4,8.21,5.99,255.0,betway,8.0,5.25,52.4,33.6,non,-1,2026-09-13_alex_kobelt_matisse_bobichon
2026-09-13,ATP Challenger Rennes,Theo Arribage,Justin Boulais,21.0,21.9,3.4,3.6,7.58,5.92,325.0,bwin,7.25,5.0,45.0,22.5,non,-1,2026-09-13_justin_boulais_theo_arribage
2026-09-13,ATP Challenger Szczecin,Jan Chlodnicki,Dali Blanch,19.9,19.9,2.8,2.8,8.71,6.98,145.0,unibet,8.5,8.5,0.0,21.8,non,-1,2026-09-13_dali_blanch_jan_chlodnicki
2026-09-11,ATP Challenger Genoa,Valerio Aboian,Pedro Martinez,17.9,20.8,3.4,4.2,6.31,5.0,473.0,bet365,5.0,4.5,11.1,0.0,non,-1,2026-09-11_pedro_martinez_valerio_aboian
2026-09-13,WTA Guadalajara,Carole Monnet,Katrina Scott,17.2,16.0,8.0,7.5,2.5,2.1,227.0,unibet,2.18,2.18,0.0,3.8,oui,1.18,2026-09-13_carole_monnet_katrina_scott
2026-09-13,ATP Challenger Biella,Lorenzo Beraldo,Dimitris Sakellaridis,12.2,12.2,4.3,4.3,3.43,3.01,173.0,888sport,3.4,2.75,23.6,13.0,non,-1,2026-09-13_lorenzo_beraldo_dimitris_sakellaridis
2026-09-13,WTA Guadalajara,Cristina Bucsa,Bianca Andreescu,11.5,15.9,5.5,8.3,2.27,1.91,227.0,unibet,2.1,2.02,4.0,10.0,oui,1.1,2026-09-13_cristina_bucsa_bianca_andreescu
2026-09-13,ATP Challenger Tiburon,Gus Grumet,Daniil Ostapenkov,11.3,19.5,2.2,4.2,5.49,4.42,223.0,888sport,5.0,4.0,25.0,13.1,non,-1,2026-09-13_gus_grumet_daniil_ostapenkov
2026-09-14,ATP Challenger Guangzhou,Hayato Matsuoka,Lloyd Harris,10.9,8.0,2.3,1.6,5.03,4.63,232.0,unibet,4.5,4.5,0.0,-2.8,,,2026-09-14_hayato_matsuoka_lloyd_harris
2026-09-13,ATP Challenger Szczecin,Filip Pieczonka,Carlos Sanchez Jover,10.6,3.5,3.6,1.2,3.12,3.01,171.0,bwin,2.95,2.65,11.3,-2.0,oui,1.95,2026-09-13_carlos_sanchez_jover_filip_pieczonka
2026-09-14,ATP Challenger Phan Thiet 4,Dong Ju Kim,Martin Borisiouk,10.1,9.1,3.6,3.1,2.98,2.71,343.0,888sport,2.62,2.62,0.0,-3.1,non,-1,2026-09-14_martin_borisiouk_dong_ju_kim
2026-09-11,US Open Men Singles,Frances Tiafoe,Ben Shelton,9.1,7.0,2.6,1.9,3.73,3.47,79.0,unibet,3.5,3.35,4.5,0.9,non,-1,2026-09-11_frances_tiafoe_ben_shelton
2026-09-14,ATP Challenger Guangzhou,Colin Sinclair,Linang Xiao,8.8,8.8,5.2,5.2,1.8,1.64,208.0,unibet,1.78,1.63,9.2,8.5,,,2026-09-14_colin_sinclair_linang_xiao
